Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Tarik Skubal (39000920),Tarik Skubal,39000920,P,11300,DET@KC 05/31/2025 04:10PM ET,DET,26.26
RP,Hunter Brown (39001345),Hunter Brown,39001345,P,11000,TB@HOU 05/31/2025 04:10PM ET,HOU,24.87
RP,Garrett Crochet (39001346),Garrett Crochet,39001346,P,10700,BOS@ATL 05/31/2025 04:10PM ET,BOS,23.40
SP,Zack Wheeler (39001347),Zack Wheeler,39001347,P,10400,MIL@PHI 05/31/2025 04:05PM ET,PHI,24.15
SP,Jesus Luzardo (39000921),Jesus Luzardo,39000921,P,10000,MIL@PHI 05/31/2025 04:05PM ET,PHI,22.25
SP,Ranger Suarez (39001348),Ranger Suarez,39001348,P,9500,MIL@PHI 05/31/2025 04:05PM ET,PHI,20.93
RP,Framber Valdez (39001349),Framber Valdez,39001349,P,9500,TB@HOU 05/31/2025 04:10PM ET,HOU,20.08
SP,Chris Sale (39001350),Chris Sale,39001350,P,9400,BOS@ATL 05/31/2025 04:10PM ET,ATL,19.69
RP,Spencer Strider (39001352),Spencer Strider,39001352,P,9200,BOS@ATL 05/31/2025 04:10PM ET,ATL,11.43
SP,Tylor Megill (39001351),Tylor Megill,39001351,P,9200,COL@NYM 05/31/2025 04:10PM ET,NYM,17.50
SP,Sean Manaea (39001353),Sean Manaea,39001353,P,9200,COL@NYM 05/31/2025 04:10PM ET,NYM,0
SP,Logan Webb (39001354),Logan Webb,39001354,P,9200,SF@MIA 05/31/2025 04:10PM ET,SF,21.13
SP,Spencer Schwellenbach (39000922),Spencer Schwellenbach,39000922,P,9100,BOS@ATL 05/31/2025 04:10PM ET,ATL,16.98
RP,Clay Holmes (39001355),Clay Holmes,39001355,P,9100,COL@NYM 05/31/2025 04:10PM ET,NYM,16.45
SP,Frankie Montas (39001356),Frankie Montas,39001356,P,9100,COL@NYM 05/31/2025 04:10PM ET,NYM,0
SP,Griffin Canning (39001358),Griffin Canning,39001358,P,9100,COL@NYM 05/31/2025 04:10PM ET,NYM,14.26
SP,David Peterson (39001359),David Peterson,39001359,P,9100,COL@NYM 05/31/2025 04:10PM ET,NYM,17.17
SP,Freddy Peralta (39001357),Freddy Peralta,39001357,P,9100,MIL@PHI 05/31/2025 04:05PM ET,MIL,17.57
SP,Logan Henderson (39001360),Logan Henderson,39001360,P,9000,MIL@PHI 05/31/2025 04:05PM ET,MIL,24.31
SP,Robbie Ray (39000923),Robbie Ray,39000923,P,9000,SF@MIA 05/31/2025 04:10PM ET,SF,20.79
SP,Kodai Senga (39000924),Kodai Senga,39000924,P,8900,COL@NYM 05/31/2025 04:10PM ET,NYM,18.92
SP,Brandon Woodruff (39001361),Brandon Woodruff,39001361,P,8900,MIL@PHI 05/31/2025 04:05PM ET,MIL,0
RP,Jose Quintana (39001362),Jose Quintana,39001362,P,8900,MIL@PHI 05/31/2025 04:05PM ET,MIL,15.88
SP,Jacob deGrom (39001364),Jacob deGrom,39001364,P,8800,STL@TEX 05/31/2025 04:05PM ET,TEX,19.21
SP,Cristian Javier (39001363),Cristian Javier,39001363,P,8800,TB@HOU 05/31/2025 04:10PM ET,HOU,0
RP,Cody Bradford (39001366),Cody Bradford,39001366,P,8700,STL@TEX 05/31/2025 04:05PM ET,TEX,0
SP,Jack Flaherty (39001365),Jack Flaherty,39001365,P,8700,DET@KC 05/31/2025 04:10PM ET,DET,17.88
SP,Nathan Eovaldi (39001368),Nathan Eovaldi,39001368,P,8600,STL@TEX 05/31/2025 04:05PM ET,TEX,21.92
SP,Cristopher Sanchez (39001367),Cristopher Sanchez,39001367,P,8600,MIL@PHI 05/31/2025 04:05PM ET,PHI,18.15
SP,Reese Olson (39001369),Reese Olson,39001369,P,8600,DET@KC 05/31/2025 04:10PM ET,DET,17.66
RP,AJ Smith-Shawver (39001374),AJ Smith-Shawver,39001374,P,8500,BOS@ATL 05/31/2025 04:10PM ET,ATL,13.26
SP,Tyler Mahle (39001370),Tyler Mahle,39001370,P,8500,STL@TEX 05/31/2025 04:05PM ET,TEX,16.59
SP,Steven Matz (39001372),Steven Matz,39001372,P,8500,STL@TEX 05/31/2025 04:05PM ET,STL,7.14
RP,Matthew Liberatore (39001373),Matthew Liberatore,39001373,P,8500,STL@TEX 05/31/2025 04:05PM ET,STL,16.61
RP,Carlos Hernandez (39001375),Carlos Hernandez,39001375,P,8500,MIL@PHI 05/31/2025 04:05PM ET,PHI,1.50
SP,Joe Ross (39001376),Joe Ross,39001376,P,8500,MIL@PHI 05/31/2025 04:05PM ET,PHI,3.00
SP,Casey Mize (39001371),Casey Mize,39001371,P,8500,DET@KC 05/31/2025 04:10PM ET,DET,17.99
SP,Shane Bieber (39001382),Shane Bieber,39001382,P,8400,LAA@CLE 05/31/2025 04:10PM ET,CLE,0
SP,Aaron Nola (39001377),Aaron Nola,39001377,P,8400,MIL@PHI 05/31/2025 04:05PM ET,PHI,11.66
SP,Taijuan Walker (39001379),Taijuan Walker,39001379,P,8400,MIL@PHI 05/31/2025 04:05PM ET,PHI,11.29
SP,Seth Johnson (39001380),Seth Johnson,39001380,P,8400,MIL@PHI 05/31/2025 04:05PM ET,PHI,0
SP,Mick Abel (39001381),Mick Abel,39001381,P,8400,MIL@PHI 05/31/2025 04:05PM ET,PHI,32.5
SP,Spencer Arrighetti (39001378),Spencer Arrighetti,39001378,P,8400,TB@HOU 05/31/2025 04:10PM ET,HOU,11.88
RP,Enyel De Los Santos (39001383),Enyel De Los Santos,39001383,P,8300,BOS@ATL 05/31/2025 04:10PM ET,ATL,3.10
SP,Dylan Dodd (39001384),Dylan Dodd,39001384,P,8300,BOS@ATL 05/31/2025 04:10PM ET,ATL,2.58
SP,Chad Kuhl (39001385),Chad Kuhl,39001385,P,8300,BOS@ATL 05/31/2025 04:10PM ET,ATL,0
