Name,Position,TeamAbbrev,Salary,AvgPointsPerGame,Game Info
Hunter Brown,P,HOU,9800,24.56,HOU@TEX 8:05PM ET
Tarik Skubal,P,DET,11000,26.78,DET@CLE 7:10PM ET
Shane Baz,P,TB,8200,19.23,TB@BOS 7:10PM ET
Logan Gilbert,P,SEA,7600,18.45,SEA@LAA 9:38PM ET
Kodai Senga,P,NYM,8800,21.34,NYM@ATL 7:20PM ET
Robbie Ray,P,SF,7800,19.67,SF@SD 9:40PM ET
Freddy Peralta,P,MIL,8800,21.78,MIL@CHC 8:05PM ET
Luis Castillo,P,SEA,9400,23.12,SEA@LAA 9:38PM ET
Gerrit Cole,P,NYY,10200,25.45,NYY@TOR 7:07PM ET
Spencer Strider,P,ATL,10800,27.89,ATL@NYM 7:10PM ET
William Contreras,C,MIL,4200,7.39,MIL@CHC 8:05PM ET
Salvador Perez,C,KC,3800,6.85,KC@CLE 7:10PM ET
Tyler Stephenson,C,CIN,3600,6.12,CIN@PIT 7:05PM ET
Danny Jansen,C,TOR,3200,5.67,TOR@NYY 7:07PM ET
Austin Hedges,C,TEX,3000,4.89,TEX@HOU 8:05PM ET
Vladimir Guerrero Jr.,1B,TOR,4800,7.66,TOR@NYY 7:07PM ET
Pete Alonso,1B,NYM,4600,7.23,NYM@ATL 7:20PM ET
Josh Bell,1B,MIA,3600,6.45,MIA@WSH 7:05PM ET
Spencer Torkelson,1B,DET,3400,5.89,DET@CLE 7:10PM ET
Yandy Diaz,1B/3B,TB,3800,6.78,TB@BOS 7:10PM ET
Paul Goldschmidt,1B,STL,4200,6.89,STL@COL 8:40PM ET
Gleyber Torres,2B,NYY,4200,6.89,NYY@TOR 7:07PM ET
Jose Altuve,2B,HOU,4600,7.12,HOU@TEX 8:05PM ET
Andres Gimenez,2B,CLE,3600,6.34,CLE@KC 8:10PM ET
Colt Keith,2B,DET,3800,6.45,DET@CLE 7:10PM ET
Jonathan India,2B,CIN,3400,5.78,CIN@PIT 7:05PM ET
Rafael Devers,3B,BOS,5200,8.45,BOS@TB 7:10PM ET
Manny Machado,3B,SD,4800,7.45,SD@SF 9:40PM ET
Jose Ramirez,3B,CLE,5400,8.12,CLE@KC 8:10PM ET
Alex Bregman,3B,HOU,4600,7.23,HOU@TEX 8:05PM ET
Jorge Polanco,3B/SS,SEA,3800,6.95,SEA@LAA 9:38PM ET
Austin Riley,3B,ATL,4400,7.67,ATL@NYM 7:10PM ET
Francisco Lindor,SS,NYM,5600,8.23,NYM@ATL 7:20PM ET
Trea Turner,SS,PHI,4800,7.89,PHI@WAS 7:05PM ET
Bo Bichette,SS,TOR,3700,6.67,TOR@NYY 7:07PM ET
Corey Seager,SS,TEX,4600,7.34,TEX@HOU 8:05PM ET
Xander Bogaerts,SS,SD,4200,7.12,SD@SF 9:40PM ET
Carlos Correa,SS,MIN,4000,6.78,MIN@OAK 9:40PM ET
Kyle Tucker,OF,HOU,5800,8.45,HOU@TEX 8:05PM ET
Christian Yelich,OF,MIL,4800,7.65,MIL@CHC 8:05PM ET
Jarren Duran,OF,BOS,4600,7.89,BOS@TB 7:10PM ET
Byron Buxton,OF,MIN,4200,7.12,MIN@OAK 9:40PM ET
Seiya Suzuki,OF,CHC,4000,6.78,CHC@MIL 8:05PM ET
Jesse Winker,OF,NYM,3600,6.23,NYM@ATL 7:20PM ET
Wilyer Abreu,OF,BOS,3500,6.45,BOS@TB 7:10PM ET
Jackson Chourio,OF,MIL,3400,5.89,MIL@CHC 8:05PM ET
Lane Thomas,OF,CLE,3300,5.67,CLE@KC 8:10PM ET
Jose Caballero,OF,SEA,3200,5.34,SEA@LAA 9:38PM ET
Wenceel Perez,OF,DET,3000,4.78,DET@CLE 7:10PM ET
Aaron Judge,OF,NYY,6000,9.67,NYY@TOR 7:07PM ET
Mookie Betts,OF,LAD,5600,8.89,LAD@COL 8:40PM ET
Juan Soto,OF,NYY,5400,8.45,NYY@TOR 7:07PM ET
