Name,Position,TeamAbbrev,Salary,AvgPointsPerGame,Game Info
Hunter Brown,P,HOU,9800,24.56,HOU@TEX
Shane Baz,P,TB,8200,19.23,TB@BOS
Logan Gilbert,P,SEA,7600,18.45,SEA@LAA
Freddy Peralta,P,MIL,8800,21.78,MIL@CHC
Ronel Blanco,P,HOU,7000,16.89,HOU@TEX
William Contreras,C,MIL,4200,7.39,MIL@CHC
Salvador Perez,C,KC,3800,6.85,KC@CLE
Tyler Stephenson,C,CIN,3200,6.12,CIN@PIT
Vladimir Guerrero Jr.,1B,TOR,4200,7.66,TOR@NYY
Pete Alonso,1B,NYM,4000,7.23,NYM@ATL
Josh Bell,1B,MIA,3600,6.45,MIA@WSH
Yandy Diaz,1B/3B,TB,3800,6.78,TB@BOS
Gleyber Torres,2B,NYY,4000,6.89,TOR@NYY
Jose Altuve,2B,HOU,3900,7.12,HOU@TEX
Andres Gimenez,2B,CLE,3600,6.34,KC@CLE
Jorge Polanco,3B/SS,SEA,3800,6.95,SEA@LAA
Manny Machado,3B,SD,4200,7.45,SD@LAD
Jose Ramirez,3B,CLE,4100,8.12,KC@CLE
Alex Bregman,3B,HOU,4000,7.23,HOU@TEX
Francisco Lindor,SS,NYM,4300,8.23,NYM@ATL
Trea Turner,SS,PHI,4100,7.89,PHI@WAS
Bo Bichette,SS,TOR,3700,6.67,TOR@NYY
Corey Seager,SS,TEX,4000,7.34,HOU@TEX
Kyle Tucker,OF,HOU,4500,8.45,HOU@TEX
Christian Yelich,OF,MIL,4200,7.65,MIL@CHC
Jarren Duran,OF,BOS,4100,7.89,TB@BOS
Byron Buxton,OF,MIN,3900,7.12,DET@MIN
Seiya Suzuki,OF,CHC,3800,6.78,MIL@CHC
Jesse Winker,OF,NYM,3600,6.23,NYM@ATL
Wilyer Abreu,OF,BOS,3500,6.45,TB@BOS
Jackson Chourio,OF,MIL,3400,5.89,MIL@CHC
Lane Thomas,OF,CLE,3300,5.67,KC@CLE
